4300832;Telsizler Mahallesi Muhtarlığı;KAĞITHANE;TELSİZLER
1186540;Sakarya Mahallesi Muhtarlığı;EYÜPSULTAN;SAKARYA
1011;Cumhuriyet Mahallesi Muhtarlığı;SULTANGAZİ;CUMHURİYET
1185629;Kaynarca Mahallesi Muhtarlığı;PENDİK;KAYNARCA
66135;Barış Mahallesi Muhtarlığı;BEYLİKDÜZÜ;BARIŞ
1183431;Mehterçesme Mahallesi Muhtarlığı;ESENYURT;MEHTERÇEŞME
2426;Kabakoz Mahallesi Muhtarlığı;ŞİLE;KABAKOZ
1186067;Tuna Mahallesi Muhtarlığı;ESENLER;TUNA
1181442;Bıçkıdere Mahallesi Muhtarlığı;ŞİLE;BIÇKIDERE
1184244;Kuloğlu Mahallesi Muhtarlığı;BEYOĞLU;KATİPMUSTAFA ÇELEBİ
1184037;Abdurrahmangazi Mahallesi Muhtarlığı;SANCAKTEPE;ABDURRAHMANGAZİ
1186129;Balat Mahallesi Muhtarlığı;FATİH;BALAT
1186357;Kumköy (Kilyos) Mahallesi Muhtarlığı;SARIYER;KUMKÖY (KİLYOS)
118129;Fındıklı Mahallesi Muhtarlığı;MALTEPE;BAŞIBÜYÜK
1183693;Burhaniye Mahallesi Muhtarlığı;ÜSKÜDAR;BURHANİYE
1181608;Balaban Mahallesi Muhtarlığı;SİLİVRİ;SANCAKTEPE
1186684;Yayalar Mahallesi Muhtarlığı;PENDİK;YAYALAR
1183723;Sururi Mehmet Efendi Mahallesi Muhtarlığı;BEYOĞLU;SURURİ MEHMET EFENDİ
1182744;Gümüşpınar Mahallesi Muhtarlığı;ÇATALCA;GÜMÜŞPINAR
1184435;Bozgoca Mahallesi Muhtarlığı;ŞİLE;BOZGOCA
1184641;Kızılcaali Mahallesi Muhtarlığı;ÇATALCA;KIZILCAALİ
4750101;Tepeüstü Mahallesi Muhtarlığı;ÜMRANİYE;TEPEÜSTÜ
1186703;Bahçeşehir 1. Kısım Mahallesi Muhtarlığı;BAŞAKŞEHİR;BAHÇEŞEHİR 1. KISIM
2526;Karamandere Mahallesi Muhtarlığı;ŞİLE;KARAMANDERE
1960;Terkos Mahallesi Muhtarlığı;ARNAVUTKÖY;TERKOS
